entity,description,primary_keys,foreign_keys,invariants,statuses_enums,evidence_paths
orders,Orders Table (Unified Quotes + Sales),id,clientId->clients.id (onDelete:cascade); intakeEventId->calendarEvents.id (onDelete:set null); packedBy->users.id; shippedBy->users.id; referredByClientId->clients.id; convertedFromOrderId->orders.id; creditOverrideBy->users.id; createdBy->users.id,soft_delete:deletedAt; optimistic_lock:version; unique:[orderNumber],orderType=[QUOTE|SALE]; quoteStatus=[DRAFT|SENT|VIEWED|ACCEPTED|REJECTED|EXPIRED|CONVERTED]; paymentTerms=[COD|NET_7|NET_15|NET_30|CONSIGNMENT|PARTIAL]; saleStatus=[PENDING|PARTIAL|PAID|OVERDUE|CANCELLED]; fulfillmentStatus=[DRAFT|CONFIRMED|PENDING|PACKED|SHIPPED|DELIVERED|RETURNED|RESTOCKED|RETURNED_TO_VENDOR|CANCELLED]; pickPackStatus=[PENDING|PICKING|PACKED|READY],drizzle/schema.ts
orderStatusHistory,Order Status History,id,orderId->orders.id (onDelete:restrict); changedBy->users.id,soft_delete:deletedAt,fulfillmentStatus=[DRAFT|CONFIRMED|PENDING|PACKED|SHIPPED|DELIVERED|RETURNED|RESTOCKED|RETURNED_TO_VENDOR|CANCELLED],drizzle/schema.ts
organizationSettings,Organization Settings Table,id,,unique:[settingKey],settingType=[BOOLEAN|STRING|NUMBER|JSON]; scope=[SYSTEM|USER|TEAM],drizzle/schema.ts
overtimeRules,Overtime Rules table,id,,,,drizzle/schema-scheduling.ts
payableNotifications,Payable Notifications Table (MEET-005),id,payableId->vendorPayables.id (onDelete:cascade); sentToUserId->users.id (onDelete:set null); acknowledgedBy->users.id (onDelete:set null),soft_delete:deletedAt,notificationType=[GRACE_PERIOD_WARNING|PAYABLE_DUE|PAYMENT_REMINDER|OVERDUE],drizzle/schema.ts
paymentHistory,Payment History table,id,,soft_delete:deletedAt,,drizzle/schema.ts
paymentMethods,Payment Methods Table,id,,unique:[code],,drizzle/schema.ts
payments,Payments,id,bankAccountId->bankAccounts.id (onDelete:restrict); customerId->clients.id (onDelete:restrict); vendorId->clients.id (onDelete:restrict); invoiceId->invoices.id (onDelete:restrict); billId->bills.id (onDelete:restrict); createdBy->users.id (onDelete:restrict),soft_delete:deletedAt; optimistic_lock:version; unique:[paymentNumber],paymentType=[RECEIVED|SENT]; paymentMethod=[CASH|CHECK|WIRE|ACH|CREDIT_CARD|DEBIT_CARD|OTHER],drizzle/schema.ts
permissions,UNSPECIFIED,id,,unique:[name],,drizzle/schema-rbac.ts
pointsLedger,Points Ledger,id,clientId->clients.id (onDelete:cascade); processedById->users.id,,transactionType=[EARNED_ACHIEVEMENT|EARNED_PURCHASE|EARNED_REFERRAL|EARNED_BONUS|REDEEMED|EXPIRED|ADJUSTED],drizzle/schema-gamification.ts
priceHistory,"Price History (MEET-061, MEET-062)",id,productId->products.id (onDelete:cascade); batchId->batches.id (onDelete:set null); clientId->clients.id (onDelete:set null); orderId->orders.id (onDelete:set null); supplierId->clients.id (onDelete:set null),,transactionType=[PURCHASE|SALE],drizzle/schema.ts
pricingDefaults,UNSPECIFIED,id,,unique:[productCategory],,drizzle/schema.ts
pricingProfiles,Pricing Profiles,id,createdBy->users.id,soft_delete:deletedAt,,drizzle/schema.ts
pricingRules,Pricing Rules,id,,soft_delete:deletedAt,adjustmentType=[PERCENT_MARKUP|PERCENT_MARKDOWN|DOLLAR_MARKUP|DOLLAR_MARKDOWN]; logicType=[AND|OR],drizzle/schema.ts
productImages,Product Images Table,id,batchId->batches.id (onDelete:cascade); productId->products.id (onDelete:cascade); uploadedBy->users.id,,status=[PENDING|APPROVED|REJECTED|ARCHIVED],drizzle/schema.ts
productMedia,Product Media table,id,,soft_delete:deletedAt,,drizzle/schema.ts
products,Products table,id,,soft_delete:deletedAt,,drizzle/schema.ts
productSynonyms,Product Synonyms table,id,,soft_delete:deletedAt,,drizzle/schema.ts
productTags,Product Tags junction table,id,,soft_delete:deletedAt,,drizzle/schema.ts
purchaseOrderItems,Purchase Order Line Items table,id,purchaseOrderId->purchaseOrders.id (onDelete:cascade); productId->products.id (onDelete:restrict),soft_delete:deletedAt,,drizzle/schema.ts
